area_name,id,date,confirmed_cases,new_cases,movement_score,stationary_score,lag_adjusted_cases
"Albemarle, Virginia, US",51003.0,04/30/2020,103,22,-0.28573000000000004,0.28247,0
"Albemarle, Virginia, US",51003.0,05/01/2020,103,0,-0.211,0.21941,1
"Albemarle, Virginia, US",51003.0,05/02/2020,105,2,-0.17251,0.23642,1
"Albemarle, Virginia, US",51003.0,05/03/2020,108,3,-0.22897,0.28816,4
"Albemarle, Virginia, US",51003.0,05/04/2020,110,2,-0.19971,0.25017,3
"Albemarle, Virginia, US",51003.0,05/05/2020,110,0,-0.23247,0.26958000000000004,1
"Albemarle, Virginia, US",51003.0,05/06/2020,111,1,-0.22722,0.26121,3
"Albemarle, Virginia, US",51003.0,05/07/2020,112,1,-0.15936,0.22764,1
"Albemarle, Virginia, US",51003.0,05/08/2020,116,4,-0.2189,0.22681,2
"Albemarle, Virginia, US",51003.0,05/09/2020,119,3,-0.2032,0.24364,4
"Albemarle, Virginia, US",51003.0,05/10/2020,120,1,-0.15437,0.26336,3
"Albemarle, Virginia, US",51003.0,05/11/2020,123,3,-0.19708,0.246,3
"Albemarle, Virginia, US",51003.0,05/12/2020,124,1,-0.16659000000000002,0.23998000000000005,2
"Albemarle, Virginia, US",51003.0,05/13/2020,126,2,-0.20461,0.23234,1
"Albemarle, Virginia, US",51003.0,05/14/2020,130,4,-0.15905,0.22453,2
"Albemarle, Virginia, US",51003.0,05/15/2020,133,3,-0.19254,0.20902,1
"Albemarle, Virginia, US",51003.0,05/16/2020,136,3,-0.15325999999999998,0.24152,0
"Albemarle, Virginia, US",51003.0,05/17/2020,138,2,-0.2014,0.29806,0
"Albemarle, Virginia, US",51003.0,05/18/2020,139,1,-0.21043,0.25127,1
"Albemarle, Virginia, US",51003.0,05/19/2020,141,2,-0.22932,0.25621,5
"Albemarle, Virginia, US",51003.0,05/20/2020,142,1,-0.19024,0.25398000000000004,1
"Albemarle, Virginia, US",51003.0,05/21/2020,142,0,-0.19086,0.25276,12
"Albemarle, Virginia, US",51003.0,05/22/2020,142,0,-0.22205,0.22152,7
"Albemarle, Virginia, US",51003.0,05/23/2020,143,1,-0.08211,0.2167,2
"Albemarle, Virginia, US",51003.0,05/24/2020,148,5,-0.08237,0.25794,10
"Albemarle, Virginia, US",51003.0,05/25/2020,149,1,-0.21954,0.26182,7
"Albemarle, Virginia, US",51003.0,05/26/2020,161,12,-0.1142,0.22132,0
"Albemarle, Virginia, US",51003.0,05/27/2020,168,7,-0.09954,0.22155,12
"Albemarle, Virginia, US",51003.0,05/28/2020,170,2,-0.13782,0.23034,1
"Albemarle, Virginia, US",51003.0,05/29/2020,180,10,-0.1563,0.2167,4
"Albemarle, Virginia, US",51003.0,05/30/2020,187,7,-0.10643,0.22408000000000006,9
"Albemarle, Virginia, US",51003.0,05/31/2020,187,0,-0.08859,0.26417,4
"Albemarle, Virginia, US",51003.0,06/01/2020,199,12,-0.10968,0.21413,4
"Albemarle, Virginia, US",51003.0,06/02/2020,200,1,-0.09383,0.21121,30
